"key" "fi" "sv"
"admin.screenmessages.deleteScreenmessageButtonLabel" "Poista kaikki ennakkoilmoitukset" "ta bort alla förhandsanmälingar"
"admin.screenmessages.fi" "Suomeksi" "På finska"
"admin.screenmessages.ifNoSwedishGiven" "(Mikäli et anna ruotsinkielistä ilmoitusta, käytetään suomenkielistä myös ruotsinkielisessä käyttöliittymässä)" "(om du inte ger anmälan på svenska, används anmälan på finska även i det svenskspråkiga användargränssnittet)"
"admin.screenmessages.list-title" "Ennakkoilmoitukset" "Förhandsanmälningar"
"admin.screenmessages.sv" "Ruotsiksi" "På svenska"
"admin.selectAdminMunicipality" "Pääkäyttäjän sijaintikunta:" "Huvudanvändarens placeringskommun:"
"admin.selectAdminOrganizations" "Pääkäyttäjän organisaatiot" "Huvudanvändarens organisationer"
"aita._group_label" "Aidan rakentaminen" "Inhägnande"
"all" "Kaikki" "Alla"
"answered" "Vastattu" "Besvarad"
"applicant" "Hakija" "Sökande"
"application.addInvite" "Lisää valtuutus" "Lägg till befogenhet"
"application.addLinkPermit" "Lisää viitelupa" "Tillsätt referenslov"
"application.addOperation" "Lisää toimenpide" "Lägg till åtgärd"
"application.addParty" "Lisää osapuoli" "Lägg till part"
"application.address" "Hankkeen osoite" "Projektets adress"
"application.allRequiredDataFilled" "Kaikki pakolliset tiedot on täytetty" "Alla obligatoriska fält är ifyllda"
"application.aloitusilmoitukset" "Aloitusilmoitukset" "Anmälningar om påbörjande"
"application.aloitusjavalmistumisilmoitukset" "Aloitus- ja valmistumisilmoitukset" "Anmälningar om påbörjande och slutförande"
"application.applicant" "Hakija:" "Sökande:"
"application.applicationInfoDesc" "Tällä välilehdellä näet valitsemaasi toimenpiteeseen liittyvät lomaketiedot." "Denna flik visar registeruppgifter för vald åtgärd."
"application.applicationSummary" "Hakemus" "Ansökan"
"application.approveApplication" "Siirrä käsittelyyn" "Flytta till behandling"
"application.appsLinkingToUs" "Tähän hakemukseen viittaavat luvat" "Lov som hänvisar till denna ansökan"
"application.asker" "Kysyjä:" "Frågeställare:"
"application.assignee" "Käsittelijä:" "Handläggare:"
"application.attachmentContents" "Sisältö" "Innehåll"
"application.attachmentEditDate" "Muokattu" "Redigerad"
"application.attachmentFile" "Tiedosto" "Fil"
"application.attachmentInfo" "Milloin tarvitaan" "Fordras"
"application.attachmentNotNeeded" "Ei tarpeen" "Fordras inte"
"application.attachments.post-verdict" "Rakentamisen aikaiset liitteet" "Bilagor under byggnadstiden"
"application.attachments.pre-verdict" "Hakemuksen aikaiset liitteet" "Bilagor under ansökningstiden"
"application.attachmentsAdd" "Lisää liite" "Lägg till bilaga"
"application.attachmentsAddList" "Lisää liitetiedosto" "Lägg till bilaga"
"application.attachmentsCopyOwn" "Kopioi omat liitteet hakemukselle" "Kopiera egna bilagor på ansökan"
"application.attachmentsDesc" "Tänne voit lisätä hakemukseen kuuluvia liitteitä. Viranomainen voi myös pyytää sinulta tarpeellisia liitteitä. Nämä pyynnöt ja korjauksia vaativat liitteet merkitään taulukossa punaisella ikonilla. Viranomainen voi myös merkitä liitteen <b>alustavasti hyväksytyksi tai korjattavaksi. Tämä ei ole vielä virallinen hyväksyntä, sillä sitä varten hakemus pitää käsitellä kunnan päätöksentekoprosessin mukaisesti</b>." "Här kan du lägga till bilagor till ansökan. Myndigheten kan också be dig om nödvändiga bilagor. En sådan begäran och de bilagor som ska korrigeras markeras i tabellen med en röd flagga. Myndigheten kan också markera en bilaga som <b> preliminärt godkänd eller i behov av korrigering. Detta är ännu inte ett officiellt godkännande, eftersom det kräver att ansökan måste behandlas enligt kommunens beslutsprocess</b>."
"application.attachmentsEmpty" "Ei liitteitä" "Inga bilagor"
"application.attachmentSentDate" "Siirretty taustajärjestelmään" "Flyttad till bakgrundssystemet"
"application.attachmentsMoveToBackingSystem" "Siirrä liitteet taustajärjestelmään" "Överför bilagorna till bakgrundsystemet"
"application.attachmentState" "Tila" "Status"
"application.attachmentType" "Tyyppi" "Typ"
"application.attachmentVersion" "Versio" "Version"
"application.authorizedParties" "Valtuutetut" "Bemyndigade parter"
"application.basicInfo" "Hakemuksen perustiedot" "Ansökans basuppgifter"
"application.beginConstructionOf" "Ilmoita työt alkaneiksi" "Anmäl att arbetena påbörjats"
"application.building" "Rakennus" "Byggnad"
"application.building.merge" "Haetaanko tiedot kunnan rekisteristä? Jos samoja tietoja on jo täytetty lomakkeelle, ne ylikirjoitetaan rekisterissä olevilla tiedoilla." "Vill du hämta uppgifter från kommunens register?  Om samma uppgifter är redan fyllda i blanketten, skall de överskrivas med registeruppgifter."
"application.buildingOperation" "Toimenpide ja rakennus" "Åtgärd och byggnad"
"application.buildingStartedBy" "Tekijä" "Aktör"
"application.buildingStartedDate" "Päivämäärä" "Datum"
"application.buildingStatus" "Tila" "Status"
"application.button.informConstructionReady" "Ilmoita hankkeesi valmistuneeksi" "Meddela att ditt projetk färdigställts"
"application.button.informConstructionStarted" "Ilmoita hankkeesi alkaneeksi" "Meddela att ditt projekt har inletts"
"application.cancelApplication" "Peruuta hakemus" "Avbryt ansökan"
"application.canceled.reason" "Peruutuksen syy" "Orsaken av återkallandet"
"application.canceled.text" "Hakemus on peruutettu" "Ansökningen har återkallats"
"application.constructionStateChangeDate" "Päivämäärä" "Datum"
"application.constructionStateChangedBy" "Tekijä" "Aktör"
"application.constructionStateChangeOperation" "Ilmoitus" "Anmälan"
"application.conversation.clearMessage" "Tyhjennä" "Töm"
"application.conversation.sendMessage" "Palaa näkymään" "Återgå till vyn"
"application.conversation.unsentMessage" "Sinulla on viestikentässä viesti, jota ei vielä ole lähetetty. Tahdotko palata näkymään, josta voit lähettää viestin, vai tyhjentää kentän?" "Du har osänt meddelande i meddelandefältet.  Vill du återgå till vyn där du kan sända meddelandet, eller vill du tömma fältet?"
"application.conversation.unsentMessage.header" "Lähettämätön viesti" "Osänt meddelande"
"application.conversationDesc" "Täällä voit keskustella hakemuksesta viranomaisten ja valtuutettujen, kuten suunnittelijan kanssa. \"Kysy viranomaiselta\" - toiminnolla kutsut viranomaisen vastaamaan kysymykseesi. Tällöin viranomainen näkee hakemuksesi ja voi vastata esittämiisi kysymyksiin. Näin voitte yhdessä valmistella hakemusta ennen sen jättämistä." "Här kan du diskutera ansökan med myndigheterna och de bemyndigade parterna, t.ex. med planläggaren.  Med \"Fråga myndigheten\" -funktionen ber du myndigheten att svara på din fråga. Därmer kan myndigheten se din ansökan och svara på frågorna du ställt. På detta vis kan ni tillsammans förbereda ansökan för inlämning."
"application.conversationOpen" "Kysy viranomaiselta" "Fråga myndigheten"
"application.conversationPrompt" "Kirjoita viesti:" "Skriv meddelande:"
"application.conversationSend" "Lähetä viesti" "Skicka meddelande"
"application.create" "Luo uusi hakemus" "Skapa ny ansökan"
"application.createChangePermit" "Hae muutoslupaa" "Ansök om ändringslov"
"application.createChangePermit.areyousure.message" "Erillistä muutoslupahakemusta ei tarvita vähäisten rakentamisen aikaisten muutosten yhteydessä. Muistathan aina tarkistaa viranomaiselta, onko uusi hakemus tarpeellinen vai riittääkö muutospiirustusten toimittaminen." "Vid små ändringa under byggtiden behövs inte en skild ändringstillståndsansökan. Kom ihåg att alltid fråga myndigheten om en ny ansökan är nödvändig eller om det räcker att lämna in ändringsritningar."
"application.createChangePermit.areyousure.ok" "Hae muutoslupaa" "Sök ändringstillstånd"
"application.createChangePermit.areyousure.title" "Tarvitsetko varmasti muutosluvan?" "Är du säker på att du behöver ändringstillstånd?"
"application.export.empty" "(Tyhjä)" "(Tom)"
"application.export.name" "Lupapiste" "Lupapiste"
"application.export.page" "Sivu" "Sida"
"application.export.state" "Hakemuksen vaihe" "Ansökans skede"
"application.export.subtitle" "Hakemuksen tiedot" "Uppgifter om ansökan"
"application.export.title" "Hakemus" "Ansökan"
"application.filter.search" "Etsi" "Sök"
"application.help" "Ohje" "Anvisning"
"application.helpText" "Lupapisteessä voit valmistella hakemusta rauhassa suunnittelijasi ja viranomaisten kanssa. Voit kutsua suunnittelijan ja mahdolliset muut hakijat mukaan \"Osapuolet\"  - välilehdellä. Oranssin keskustelupainikkeen takaa voit kirjoittaa kommentin ja lähetä viesti- painikkeella lähettää sen tiedoksi hakemukselle kutsutuille osapuolille tai vaihtoehtoisesti kysyä neuvoa viranomaiselta käyttämällä kysy viranomainen – painiketta. Hakemuksen jättäminen tapahtuu hakemuksen jättäminen –välilehdellä olevan jätä hakemus- painikkeen kautta.  Välilehdellä ilmoitetaan punaisella ikonilla puuttuvat pakolliset tiedot. Tällöin hakemuksesi katsotaan tulleen virallisesti vireille. Tämän jälkeen viranomainen tarkistaa hakemuksen ja pyytää tarvittaessa täydennyksiä. Kun hakemus on viranomaisen kannalta valmis, hän ottaa hakemuksen käsittelyyn kunnan päätöksenteko järjestelmään. Hakemuksen tila on tällöin \"Käsittelyssä\", etkä voi enää muokata hakemusta. Viranomaisen tehtyä päätöksen näet päätös otteen \"Päätös\" - välilehdellä ja saat siitä myös tiedon sähköpostiisi." "I Lupapiste kan du i lugn och ro förbereda ansökan tillsammans med din planerare och myndigheten. Du kan bjuda in planeraren och andra eventuella sökanden i fliken ”Parter”. Bakom orange diskussionsknapp kan du skriva kommentar och med sänd meddelande –knappen sända den till inbjudna parter som delgivning eller alternativt fråga myndigheten om råd med fråga myndigheten -knappen. Inlämning av ansökan görs med lämna ansökan -knappen i inlämning av ansökan – fliken. I fliken meddelas de återstående obligatoriska uppgifter med röd ikon.  Då anses din ansökan officiellt ha anhängiggjorts. Efter detta granskar myndigheten ansökan och ber vid behov om kompletteringar. När myndigheten anser att ansökan är färdig tas den upp för behandling i kommunens beslutfattningssystem. Ansökans status är då ”Behandlas” och du kan inte redigera ansökan mer. Efter att myndigheten fattat ett beslut syns utdrag av beslutet i fliken ”Beslut”. Denna information skickas också till din e-post."
"application.id" "Asiointitunnus:" "Behandlingsbeteckning:"
"application.informBuildingReady" "Ilmoita hankkeesi valmistuneeksi" "Meddela att ditt projekt är färdigt"
"application.inviteMessage" "Viesti" "Meddelande"
"application.invites" "Kutsut" "Inbjudningar"
"application.inviteSend" "Kutsu" "Inbjudan"
"application.KT.neighbors" "Naapurien tiedotus" "Informering av grannarna"
"application.linkPermitRemoveSelected" "Poista" "Radera"
"application.linkPermits" "Viiteluvat" "Referenslov"
"application.mapActionOpen" "Piirrä kartalle" "Rita på kartan"
"application.missingRequiredAttachments" "Puuttuvat pakolliset liitteet" "Saknande obligatoriska bilagor"
"application.MM.neighbors" "Naapurien tiedotus" "Informering av grannarna"
"application.muncipality" "Asiointikunta" "Handläggningskommun"
"application.muncipality-contact" "Yhteystiedot" "Kontaktuppgifter"
"application.neighbors" "Naapurien tiedotus" "Informering av grannarna"
"application.neighbors.hearings" "Kuulemiset" "Höranden"
"application.neighborsDesc" "Viranomainen voi tarvittaessa pyytää tiedottamaan naapureitasi hankkeestasi. Tällä välilehdellä näet <b>listan tiedotettavista naapureista</b>. Voit hoitaa naapurin tiedottamisen paperilomakkeella ja liittää skannatun lomakkeen tai <b>lähettää naapurille tiedotteen sähköpostitse Lupapisteen kautta</b>." "Myndigheten kan vid behov be dig informera dina grannar om ditt projekt. Under denna flik ser du <b>en lista på grannar som bör informeras</b>. Du kan sköta informeringen av grannarna med pappersblankett och bifoga en inskannad blankett eller <b>sända ett meddelande till grannen per e-post via Lupapiste</b>."
"application.newAttachmentTemplates" "Pyydä liite" "Be om bilaga"
"application.newAttachmentTemplates.add" "Lisää" "Lägg till"
"application.newAttachmentTemplates.cancel" "Peruuta" "Avbryt"
"application.next-tab" "Jatka seuraavaan osioon" "Fortsätt till nästa del"
"application.operations" "Toimenpiteet:" "Åtgärder:"
"application.operations.description" "Esimerkkejä hyvistä kuvauksista: Omakotitalo - Rakennetaan kaksikerroksinen, puuverhoiltu omakotitalo ja talousrakennus sekä maalämpökaivo; Rivitalo - Rakennetaan rivitaloa sekä väestönsuoja/varastorakennus. Asuntoja on 20 kpl; Kerrostalo - Rakennetaan neljäkerroksinen kerrostalo, josta osa on kellaritilaa ja tukimuuri. Asuntoja on 12 kpl. Anomus aloittaa rakennustyöt valitusaikana; Puunkaato - Kaadetaan n. 50 kuusta. Kiinteistöltä kaadetaan puita ja pintamaat poistetaan. Täyttöä on n. 10 000 m3." "Exempel på bra beskrivningar: Egnahemshus – Det byggs ett egnahemshus i två våningar med träbeklädnad och en ekonomibyggnad samt bergvärmebrunn; Radhus – Det byggs ett radhus samt skyddsrum/lagerbyggnad. Det finns 20 lägenheter; Flervåningshus – Det byggs ett flervåningshus i fyra våningar, av vilket en del är källarutrymme och stödmur. Det finns 12 lägenheter. Sökande inleder byggnadsarbetet under besvärstiden; Trädfällning – Det fälls ca 50 granar. På fastigheten fälls träd och ytjord avlägsnas. Markfyllning uppgår till ca, 10 000 m3."
"application.P.neighbors" "Naapurien tiedotus" "Informering av grannarna"
"application.parties.addForeman" "Nimeä työnjohtaja" "Utnämn arbetsledaren"
"application.parties.addOtherForeman" "Nimeä muu työnjohtaja" "Utnämn annan arbetsledare"
"application.parties.addSubstituteForeman" "Nimeä työnjohtajan sijainen" "Utnämn vikarie av arbetsledaren"
"application.parties.foreman" "Työnjohtaja" "Arbetsledare"
"application.pdf" "Tulosta hakemus" "Printa ansökan"
"application.permitSubtypes" "Toimenpide" "Åtgärd"
"application.previous-tab" "Palaa edelliseen osioon" "Tillbaka till föregående del"
"application.property" "Kiinteistötunnus:" "Fastighetsbeteckning:"
"application.R.neighbors" "Naapurien tiedotus" "Informering av grannarna"
"application.refreshKTJ" "Päivitä kiinteistön tiedot" "Uppdatera fastigheten"
"application.remove-auth" "Poista valtuutus" "Ta bort fullmakten"
"application.requestForComplement" "Palauta täydennettäväksi" "Returnera för komplettering"
"application.requiredDataDesc" "Hakemusta ei voi jättää vajain tiedoin. Ole hyvä ja täytä kaikki pakolliset tiedot." "Ansökan kan inte lämnas in med bristfälliga uppgifter. Var god och fylla i alla obligatoriska uppgifter."
"application.requiredDataMissing" "Puuttuvat pakolliset tiedot" "Bristfälligt ifyllda obligatoriska fält"
"application.reset-indicators" "Merkitse muutokset nähdyiksi" "Markera ändringarna som sedda"
"application.return" "Palaa hakemukseen" "Tillbaka till ansökan"
"application.signAttachments" "Allekirjoita liitteet" "Underteckna bilagor"
"application.stampAttachments" "Leimaa liitteet" "Stämpla bilagorna"
"application.startConversation" "Kysy neuvoa" "Fråga råd"
"application.state" "Tila:" "Status:"
"application.statement.add" "Pyydä lausunto" "Begär utlåtande"
"application.statement.desc" "Kuvaus" "Beskrivning"
"application.statement.given" "Annettu" "Given"
"application.statement.missing-from-prev-permit" "Hakemukselle ei ole haettu lausuntopyyntöjä" "Inga begäran om utlåtande har hämtats till ansökningen"
"application.statement.requested" "Pyydetty" "Har begärts"
"application.statement.send" "Lähetä" "Sänd"
"application.statement.status" "Lausunto" "Utlåtande"
"application.statements" "Lausunnot" "Utlåtanden"
"application.submissionDate" "Hakemus jätetty:" "Ansökan lämnad:"
"application.submit.areyousure.message" "Oletko varma, että haluat jättää hakemuksen käsiteltäväksi? Hakemuksen käsittelemisestä veloitetaan voimassaolevan taksan mukainen hinta. Kaikkien pakollisten kenttien tulee olla täytetyt sekä pyydettyjen liitteiden ja suunnitelmien tulee olla lisättynä hakemukselle." "Är du säker att du vill lämna ansökan för behandling? För behandlingen av ansökan uppbärs en avgift enligt gällande taxa. Alla obligatoriska fält bör vara ifyllda och begärda bilagor och planer tillagda i ansökan."
"application.submit.areyousure.title" "Jätä hakemus käsiteltäväksi" "Lämna ansökan för behandling"
"application.submitApplication" "Jätä hakemus" "Lämna ansökan"
"application.tabApplicationSummary" "Hakemuksen tiedot" "Uppgifter om ansökan"
"application.tabAttachments" "Suunnitelmat ja liitteet" "Planer och bilagor"
"application.tabConstructionTimeTasks" "Rakentaminen" "Byggande"
"application.tabConversation" "Keskusteluketju" "Diskussionstråd"
"application.tabInfo" "Hakemuksen tiedot" "Ansökans uppgifter"
"application.tabParties" "Osapuolet" "Parter"
"application.tabRequiredFieldSummary" "Hakemuksen jättäminen" "Inlämning av ansökan"
"application.tabStatement" "Lausunnot" "Utlåtanden"
"application.tabVerdict" "Päätökset" "Beslut"
"application.taskClosed" "Päivämäärä" "Datum"
"application.taskDisplayName" "Vaatimus" "Krav"
"application.taskState" "Tila" "Status"
"application.type" "Lupatyyppi" "Tillståndstyp"
"application.verdict.add" "Anna päätös" "Ange beslut"
"application.verdict.title" "Päätös" "Beslut"
"application.verdictDesc" "Täällä näet viranomaisen tekemät hakemukseesi liittyvät päätökset. Saat sähköpostiviestin, kun viranomainen lisää päätöksen." "Här ser du myndighetens beslut om din ansökan. Du får ett e-postmeddelande när myndigheten lägger till beslutet."
"application.VVVL.neighbors" "Naapurit" "Grannar"
"application.Y.neighbors" "Naapurien tiedotus" "Informering av grannarna"
"application.YA.neighbors" "Tiedotus" "Informering"
"application.YI.neighbors" "Naapurien tiedotus" "Informering av grannar"
"applications.applicant" "Hakija" "Sökande"
"applications.approveInvite" "Hyväksy kutsu" "Godkänn inbjudan"
"applications.attachmentsRequiringAction" "" ""
"applications.authority" "Käsittelijä" "Handläggare"
"applications.both" "Kaikki" "Alla"
"applications.createWithPrevPermit.desc" "Onko sinulla jo aiempi rakennusvalvonnan myöntämä lupa ja haluat siirtää rakentamisen aikaisen asioinnin Lupapisteeseen? Lupapiste mahdollistaa aikaisemman luvan siirron sähköiseen muotoon, jolloin voit toimittaa erityissuunnitelmat ja nimetä työnjohtajan Lupapisteessä." "Har du redan tillstånd som byggnadstillsyn beviljat och du vill flytta ärendehantering under byggtiden till Lupapiste? I Lupapiste är det möjligt att föra över ett tidigare tillstånd till elektronisk form, då du kan lämna in specialplaner och utnämna arbetsledaren i Lupapiste."
"applications.createWithPrevPermit.title" "Rakennusvalvonnan luvan siirto Lupapisteeseen" "Flyttning av byggnadstillsyns tillstånd  till Lupapiste"
"applications.declineInvitation.header" "Valtuutuksen hylkäys" "Förkasta fullmakt"
"applications.declineInvitation.message" "Oletko varma, että haluat hylätä valtuutuksen?" "Är du säker på att du vill förkasta fullmakten?"
"applications.declineInvite" "Hylkää kutsu" "Förkasta inbjudan"
"applications.empty.applications-desc" "Sinulla ei tällä hetkellä ole järjestelmässä aktiivisia lupahakemuksia. Lupapisteessä hoidat helposti sekä luvan hakemisen että ilmoitukset. Lupapiste auttaa sinut alkuun tarvittavien suunnitelmien ja lomakkeiden kanssa. Voit luoda lupahakemuksen klikkaamalla alla olevaa nappia." "Du har för tillfället inga aktiva tillståndsansökningar i systemet. I Lupapiste är det enkelt att sköta såväl tillståndsansökan som anmälningar. Lupapiste hjälper dig att komma igång med de nödvändiga planerna och blanketterna. Du kan skapa en tillståndsansökan genom att klicka på knappen nedan."
"applications.empty.applications-title" "Lupahakemukset" "Tillståndsansökningar"
"applications.empty.desc" "Lupapiste on uudenlainen sähköinen palvelu, jossa kansalaiset, yritykset ja yhteisöt hoitavat lupa- ja ilmoitusasiansa vuorovaikutuksessa viranomaisten ja muiden osapuolten kanssa. Lupapiste toimii yhteisenä työtilana koko hankkeesi ajan. Alkaen luvantarpeen selvityksistä ja ensimmäisistä luonnoksista aina hankkeesi valmistumiseen asti." "Lupapiste är en ny sorts elektronisk tjänst, där medborgare, företag och sammanslutningar kan sköta sina tillstånds- och anmälningsärenden interaktivt tillsammans med myndigheterna och andra berörda parter. Lupapiste fungerar som ett gemensamt arbetsutrymme under hela ditt projekt, från utredningar om tillståndsbehov och första utkasten till det färdiga projektet."
"applications.empty.inforequests-desc" "Sinulla ei tällä hetkellä ole järjestelmässä aktiivisia neuvontapyyntöjä. Neuvontapyynnöt ovat helppo tapa selvittää kuntasi viranomaisilta rakentamiseen liittyviä lupa-asioita. Saat viranomaisen vastauksesta tiedon suoraan sähköpostiisi. Neuvontapyynnön perusteella voit aloittaa myös varsinaisen luvan hakemisen. Voit luoda neuvontapyynnön klikkaamalla alla olevaa nappia." "Du har för tillfället inga aktiva begäran om rådgivning i systemet. Begäran om rådgivning är ett enkelt sätt att ställa frågor till myndigheterna i din kommun om byggnadstillstånd. Du får myndighetens svar direkt till din e-post. På basis av en begäran om rådgivning kan du börja söka själva tillståndet. Du kan skapa en begäran om rådgivning genom att klicka på knappen nedan."
"applications.empty.inforequests-title" "Neuvontapyynnöt" "Begäran om rådgivning"
"applications.empty.new-request" "Luo uusi neuvontapyyntö" "Skapa ny begäran om rådgivning"
"applications.empty.title" "Tervetuloa Lupapisteeseen!" "Välkommen till Lupapiste!"
"applications.filter.active" "Aktiiviset" "Aktiva"
"applications.filter.all" "Kaikki" "Alla"
"applications.filter.application" "Luvan haku" "Ansökan"
"applications.filter.canceled" "Peruutetut" "Återtagna"
"applications.filter.construction" "Rakentaminen" "Byggande"
"applications.filter.desc" "Työjono" "Arbetskö"
"applications.filter.state-desc" "Näytä" "Visa"
"applications.filter.user.all" "Kaikki" "Alla"
"applications.indicators" "" ""
"applications.inforequest" "Neuvontapyyntö" "Begäran om rådgivning"
"applications.inforequests" "Neuvontapyynnöt" "Begäran om rådgivning"
"applications.lengthMenu" "_MENU_ hakemusta sivulla" "_MENU_ ansökan på sidan"
"applications.location" "Sijainti" "Läg"
"applications.missing.application.desc" "Jos tiedät tarvitsevasi luvan tai sinun pitää tehdä ilmoitus toimenpiteestäsi voit tehdä suoraan lupahakemuksen. Sinua pyydetään ilmoittamaan rakennuspaikka ja kuvaamaan toimenpide. Tämän jälkeen saat perustietoja luvan tarpeesta ja tarvittavista liitteistä. Voit myös kutsua mukaan suunnittelijoita ja kanssahakijoita tehtyäsi lupahakemuksen, jolloin voitte valmistella lupaa yhdessä Lupapisteessä." "Om redan vet att ditt projekt kräver ett tillstånd eller att åtgärden måste anmälas kan du göra en tillståndsansökan direkt. Du ombes då meddela byggnadsplats och beskriva åtgärden. Därefter får du grundinformation om vad som behövs för tillståndet och nödvändiga bilagor. Du kan också bjuda in planerare och medsökande när du har gjort ansökan. Därefter kan ni tillsammans förbereda tillståndet i Lupapiste"
"applications.missing.inforequest.desc" "Jos haluat varmistaa luvan tarpeen viranomaiselta tai selvittää muita asioita viranomaiselta, voit tehdä neuvontapyynnön. Neuvontapyyntöä tehdessä sinua pyydetään ilmoittamaan rakennuspaikan sijainti ja kuvaamaan mitä olet tekemässä. Näillä tiedoilla rakennusvalvonta voi antaa sinulle paremman vastauksen kysymykseesi." "Om du vill ta reda på om ditt projekt kräver ett tillstånd eller reda ut andra saker med myndighetens hjälp kan du göra en rådgivningsbegäran. Vid en rådgivningsbegäran ombes du meddela byggnadsplats och beskriva vad du planerar att göra. Med dessa uppgifter kan byggnadstillsynen ge dig ett bättre svar på din fråga"
"applications.missing.inforequest.title" "Neuvontapyyntö" "Rådgivningsbegäran"
"applications.newAttachments" "" ""
"applications.no-match.desc" "Annetuilla hakuehdoilla ei löydy yhtään hakemusta." "Med givna sökkriterier hittas ingen ansökan"
"applications.no-match.title" "Hakemuksia ei löydy" "Ansökningar hittas ej"
"applications.operation" "Toimenpide" "Åtgärd"
"applications.processing" "Odota hetki, tietoja haetaan..." "Vänta, uppgifter hämtas…"
"applications.results" "Hankkeet _START_ – _END_ / _TOTAL_" "Projekt _START_ – _END_ / _TOTAL_"
"applications.sent" "Jätetty" "Lämnad"
"applications.status" "Tila" "Status"
"applications.title" "Omat hankkeeni" "Mina projekt"
"applications.topic" "Aihe" "Ämne"
"applications.type" "Tyyppi" "Typ"
"applications.unseenComments" "" ""
"applications.updated" "Päivitetty" "Uppdaterad"
"applications.urgent" "" ""
"applications.welcome" "<div style='padding: 50px'>Tervetuloa! Voit aloittaa selvittämällä hankkeesi luvan tarpeen painamalla <i>Uusi hanke</i> painiketta. Selvitettyäsi luvan tarpeen voit ottaa yhteyttä viranomaisiin . </div>" "<div style='padding: 50px'>Välkommen! Du kan börja genom att utreda projektets tillståndsbehov genom att klicka på knappen <i>Nytt projekt</i> . Efter att du utrett tillståndsbehovet kan du kontakta myndigheterna. </div>"
"approved" "Hyväksytty" "Godkänd"
"architect.company.title" "Yrityksen tiedot" "Företagets uppgifter"
"architect.experience.title" "Koulutus ja pätevyydet" "Utbildning och kompetenser"
"architect.title" "Suunnittelijan tiedot ja kokemus" "Kunnande och erfarenhet av planeraren."
"areyousure" "Oletko varma?" "Är du säker?"
"areyousure.cancel-application" "Haluatko varmasti peruuttaa hakemuksen? Peruttua hakemusta ei voi avata uudelleen." "Är du säker att du vill återkalla ansökningen?Ansökning som har återkallats kan inte öppnas på nytt."
"areyousure.cancel-inforequest" "Haluatko varmasti peruuttaa neuvontapyynnön?" "Är du säker att du vill återkalla begäran om rådgivning?"
