"key" "fi" "sv"
"attachmentType.ennakkoluvat_ja_lausunnot.suunnittelutarveratkaisu.info" "Jos hankkeessa on haettu suunnittelutarveratkaisu muuten kuin Lupapisteen kautta" "Om man har ansökt om planeringsbehovsavgörande på annat sätt än via Lupapiste"
"attachmentType.ennakkoluvat_ja_lausunnot.ymparistolupa" "Ympäristölupapäätös" "Miljötillståndsbeslut"
"attachmentType.ennakkoluvat_ja_lausunnot.ymparistolupa.info" "Jos hankkeeseen on haettu ympäristölupa muuten kuin Lupapisteen kautta" "Om man har ansökt om miljötillstånd i projektet på annat sätt än via Lupapiste"
"attachmentType.erityissuunnitelmat._group_label" "Erityissuunnitelmat" "Specialplaner"
"attachmentType.erityissuunnitelmat.kaivannaisjatteen_jatehuoltosuunnitelma" "Selvitys kaivannaisjätteen jätehuoltosuunnitelmasta" "Utredning över planen för hanteringen av utvinningsavfall"
"attachmentType.erityissuunnitelmat.kivenmurskaamo" "Alustava suunnitelma kivenmurskaamon sijoittamisesta ja toiminnasta alueella" "Preliminär plan över stenkrossens placering och verksamhet på området"
"attachmentType.erityissuunnitelmat.luonnonsuojelulain_arviointi" "Luonnonsuojelulain (1096/1996) 65§ arviointi" "Bedömning enligt Miljöskyddslagen (1096/1996) 65§"
"attachmentType.erityissuunnitelmat.ottamissuunnitelma" "Ottamissuunnitelma" "Täktplan"
"attachmentType.erityissuunnitelmat.selvitys_jalkihoitotoimenpiteista" "Selvitys jälkihoitotoimenpiteistä (esim. maisemointi)" "Utredning över efteråtgärder (t.ex. landskapsbyggande)"
"attachmentType.erityissuunnitelmat.yvalain_mukainen_arviointiselostus" "YVA-lain (468/1994) mukainen arviointiselostus" "Miljökonsekvensbeskrivning enligt lagen om förfarandet vid miljökonsekvensbedömning (468/1994)"
"attachmentType.hakija._group_label" "Hakija" "Sökande"
"attachmentType.hakija.osakeyhtion_perustamiskirja" "Osakeyhtiön perustamiskirja" "Aktiebolagets stiftelseurkund"
"attachmentType.hakija.osakeyhtion_perustamiskirja.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.hakija.ote_asunto_osakeyhtion_hallituksen_kokouksen_poytakirjasta" "Ote asunto-osakeyhtiön hallituksen kokouksen pöytäkirjasta" "Utdrag ur protokoll från bostadsaktiebolagets styrelsemöte"
"attachmentType.hakija.ote_asunto_osakeyhtion_hallituksen_kokouksen_poytakirjasta.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.hakija.ote_kauppa_ja_yhdistysrekisterista" "Ote kauppa- ja yhdistysrekisteristä" "Utdrag ur handels- och föreningsregistret"
"attachmentType.hakija.ote_kauppa_ja_yhdistysrekisterista.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.hakija.ottamisalueen_omistus_hallintaoikeus" "Selvitys ottamisalueen omistus- tai hallintaoikeudesta" "Utredning om täktområdets ägande- och besittningsrätt"
"attachmentType.hakija.valtakirja" "Valtakirja" "Fullmakt"
"attachmentType.hakija.valtakirja.info" "Jos hakemuksen tekee joku muu kuin hakija itse" "Om ansökan görs av någon annan än ansökaren själv"
"attachmentType.hakija.virkatodistus" "Virkatodistus" "Ämbetsbetyg"
"attachmentType.hakija.virkatodistus.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.kartat._group_label" "Kartat" "Kartor"
"attachmentType.kartat.kartta-melun-ja-tarinan-leviamisesta" "Kartta melun ja tärinän leviämisestä" "Karta över bullrets och vibrationernas spridning."
"attachmentType.kartat.kartta-melun-ja-tarinan-leviamisesta.info" "Jos ei ole kuvattuna Lupapisteen kartalla tai viranomainen vaatii" "Om inte beskrivit på Lupapiste kartan eller om myndigheten kräver"
"attachmentType.kiinteiston_hallinta._group_label" "Kiinteistön hallinta" "Besittning av fastighet"
"attachmentType.kiinteiston_hallinta.jaljennos_perunkirjasta" "Jäljennös perunkirjasta" "Kopia av bouppteckningsinstrument"
"attachmentType.kiinteiston_hallinta.jaljennos_perunkirjasta.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.kiinteiston_hallinta.ote_asunto-osakeyhtion_kokouksen_poytakirjasta" "Ote asunto-osakeyhtiön hallituksen kokouksen pöytäkirjasta" "Utdrag ur bostadsaktiebolagets styrelsemötesprotokoll"
"attachmentType.kiinteiston_hallinta.ote_asunto-osakeyhtion_kokouksen_poytakirjasta.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.kiinteiston_hallinta.rasitesopimuksen_liitekartta" "Rasitesopimuksen liitekartta" "Bilagskartan av servitutsavtal"
"attachmentType.kiinteiston_hallinta.rasitesopimuksen_liitekartta.info" "Jos rasitesopimukseen liittyy karttamateriaalia" "Om kartmaterial anknyter till servitutsavtal"
"attachmentType.kiinteiston_hallinta.rasitesopimus" "Rasitesopimus" "Servitutsavtal"
"attachmentType.kiinteiston_hallinta.rasitesopimus.info" "Jos hanke edellyttää sopimista edellyttäviä järjestelyitä (rasite tms.)" "Om projektet förutsätter anordingar som förutsätter överenskommande (servitut osv.)"
"attachmentType.laitoksen_tiedot._group_label" "Laitoksen tiedot" "Uppgifter om anläggningen"
"attachmentType.laitoksen_tiedot.muut_paatokset_sopimukset" "Muut päätökset ja sopimukset" "Övriga beslut och avtal"
"attachmentType.laitoksen_tiedot.selvitys_ymparistovahinkovakuutuksesta" "Selvitys ympäristövahinkovakuutuksesta" "Utredning om miljöskadeförsäkring"
"attachmentType.laitoksen_tiedot.voimassa_olevat_ymparistolupa_vesilupa" "Voimassa olevat ympäristölupa tai vesilupa" "Ikraftvarande miljötillstånd eller vattentillstånd"
"attachmentType.laitoksen_toiminta._group_label" "Laitoksen toiminta" "Anläggningens verksamhet"
"attachmentType.laitoksen_toiminta.arvio_ymparistoriskeista" "Arvio toimintaan liittyvistä ympäristöriskeistä, onnettomuuksien estämiseksi suunnitelluista toimista sekä toimista häiriötilanteissa" "Bedömning av hurudana miljörisker verksamheten medför, planerade åtgärder för att  undvika olyckor och vid störningssituationer"
"attachmentType.laitoksen_toiminta.energiansaastosopimus" "Energiansäästösopimus" "Energisparavtal"
"attachmentType.laitoksen_toiminta.liikenne_liikennejarjestelyt" "Liikenne ja liikennejärjestelyt" "Trafik och trafikarrangemang"
"attachmentType.laitoksen_toiminta.selvitys_tuotannosta" "Selvitys tuotteista, tuotannosta, tuotantokapasiteetista, prosesseista, laitteistoista, rakenteista ja niiden sijainnista" "Utredning om produkterna, produktionen, produktionskapaciteten, processen, maskinvaran, konstruktionerna och deras placering"
"attachmentType.laitoksen_toiminta.selvitys_ymparistoasioiden_hallintajarjestelmasta" "Selvitys ympäristöasioiden hallintajärjestelmästä" "Utredning om styrsystem för miljöärenden"
"attachmentType.laitoksen_toiminta.tiedot_energian" "Tiedot energian käytöstä ja arvio käytön tehokkuudesta" "Uppgifter om energianvändningen och bedömning av användningseffektiviteten"
"attachmentType.laitoksen_toiminta.tiedot_raaka-aineista" "Tiedot raaka-aineista, kemikaaleista, polttoaineista ja muista tuotantoon käytettävistä aineista, niiden varastointi, säilytys sekä kulutus ja veden käyttö" "Uppgifter om råvaror, kemikalier, bränslen och övriga ämnen som används i produktionen, lagringen och förvaringen av dem samt användningen av vatten"
"attachmentType.laitoksen_toiminta.tiedot_toiminnan_suunnitellusta" "Tiedot toiminnan suunnitellusta aloittamis- ja lopettamisajankohdasta" "Uppgifter om planerade start- och slutdatum för verksamheten"
"attachmentType.laitoksen_toiminta.vedenhankinta_viemarointi" "Vedenhankinta ja viemäröinti" "Vattenförsörjning och avlopp"
"attachmentType.laitoksen_toiminta.yleiskuvaus_toiminnasta" "Yleiskuvaus toiminnasta" "Allmän beskrivning av verksamheten"
"attachmentType.laitoksen_toiminta.yleisolle_tarkoitettu_tiivistelma" "Yleisölle tarkoitettu tiivistelmä lupahakemuksessa esitetyistä tiedoista" "Sammandrag av uppgifterna i tillståndsansökan, riktat till allmänheten"
"attachmentType.laitosalue_sen_ymparisto._group_label" "Laitosalue ja sen ympäristö" "Anläggningsområde och omgivning"
"attachmentType.laitosalue_sen_ymparisto.kaavaote" "Kaavaote" "Utdrag från planen"
"attachmentType.laitosalue_sen_ymparisto.ote_asemakaavasta" "Ote asemakaavasta" "Utdrag ur detaljplanen"
"attachmentType.laitosalue_sen_ymparisto.ote_yleiskaavasta" "Ote yleiskaavasta" "Utdrag ur generalplanen"
"attachmentType.laitosalue_sen_ymparisto.selvitys_pohjavesialueesta" "Selvitys pohjavesialueesta" "Utredning om grundvattenområde"
"attachmentType.laitosalue_sen_ymparisto.selvitys_rajanaapureista" "Selvitys toiminnan sijaintipaikan rajanaapureista sekä muista mahdollisista asianosaisista" "Utredning om tomtgrannar till verksamhetens placering samt om möjliga övriga sakägare"
"attachmentType.laitosalue_sen_ymparisto.tiedot_kiinteistoista" "Tiedot kiinteistöistä ja niillä sijaitsevista laitoksista ja toiminnoista sekä näiden haltijoista" "Uppgifter om fastigheterna, anläggningar och verksamhet på deras områden samt innehavare av dessa"
"attachmentType.laitosalue_sen_ymparisto.tiedot_toiminnan_sijaintipaikasta" "Tiedot toiminnan sijaintipaikasta, ympäristöolosuhteista, ympäristön laadusta ja asutuksesta" "Uppgifter om funktionens placering, miljöförhållanden, miljöns kvalitet och bosättning"
"attachmentType.muut._group_label" "Muut liitteet" "Övriga bilagor"
"attachmentType.muut.aitapiirustus" "Aitapiirustus" "Inhägnadsritning"
"attachmentType.muut.aitapiirustus.info" "Jos kyseessä on erikseen aidan rakentaminen" "Om det är fråga om byggande av inhägnad separat"
"attachmentType.muut.asemapiirros_prosessien_paastolahteiden_sijainti" "Asemapiirros (prosessien ja päästölähteiden sijainti)" "Situationsplan (processernas och utsläppskällornas placering)"
"attachmentType.muut.energiataloudellinen_selvitys" "Energiaselvitys" "Energikalkyl"
"attachmentType.muut.energiataloudellinen_selvitys.info" "Aina uudisrakennushankkeissa (yli 50m2)" "Alltid vid nybyggnadsprojekt (över 50 m2)"
"attachmentType.muut.energiatodistus" "Energiatodistus" "Energicertifikat"
"attachmentType.muut.energiatodistus.info" "Aina uudisrakennushankkeissa (yli 50m2)" "Alltid i nybyggnadsprojekt(över 50 m2)"
"attachmentType.muut.haittaaineet" "Haitta-aineselvitys" "Redovisning av skadliga ämnen"
"attachmentType.muut.haittaaineet.info" "Jos rakenteissa ja/tai materiaaleissa on todettu tai epäillään olevan haitallisia aineita" "Om skadliga ämnen har konstaterats eller misstänks vara i konstruktioner och/eller i material"
"attachmentType.muut.hankeselvitys" "Hankeselvitys" "Projektutredning"
"attachmentType.muut.hankeselvitys.info" "Viranomaisen vaatiessa" "När myndigheten kräver"
"attachmentType.muut.hulevesisuunnitelma" "Hulevesisuunnitelma" "Dagvattenplan"
"attachmentType.muut.hulevesisuunnitelma.info" "Jos rakennuspaikalla tehdään hulevesijärjestelyjä" "Om dagvattenanordingar görs på byggplatsen"
"attachmentType.muut.ikkunadetaljit" "Julkisivu- ja ikkunadetaljit" "Fasad- och fönsterdetaljer"
"attachmentType.muut.ikkunadetaljit.info" "Jos kyseessä on erityisesti julkisivuihin kohdistuva muutos- ja korjaustyö" "Om det är fråga om ändrings- eller renoveringsarbete som är speciellt riktad till fasader"
"attachmentType.muut.ilmanvaihtosuunnitelma" "Ilmanvaihtosuunnitelma" "Ventilationsplan"
"attachmentType.muut.ilmanvaihtosuunnitelma.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.ilmoitus_vaestonsuojasta" "Väestönsuojailmoitus" "Anmälan om skyddsrum"
"attachmentType.muut.ilmoitus_vaestonsuojasta.info" "Jos hanke sisältää uuden tai korjattavan väestönsuojan" "Om projektet innebär ett nytt skyddsrum eller ett som skall repareras"
"attachmentType.muut.jatevesijarjestelman_rakennustapaseloste" "Jätevesijärjestelmän rakennustapaseloste" "Byggnadsbeskrivning av avloppssystemet"
"attachmentType.muut.jatevesijarjestelman_rakennustapaseloste.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.julkisivujen_varityssuunnitelma" "Julkisivujen värityssuunnitelma" "Plan för färgläggning av fasader"
"attachmentType.muut.julkisivujen_varityssuunnitelma.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.kalliorakentamistekninen_suunnitelma" "Kalliorakentamistekninen suunnitelma" "Plan över bergstekniskt byggande"
"attachmentType.muut.kalliorakentamistekninen_suunnitelma.info" "Jos on kyse kalliorakentamisesta" "Om det är fråga om bergbyggande"
"attachmentType.muut.karttaaineisto" "Kartta-aineisto rakennuslupaa varten" "Kartmaterial för bygglov"
"attachmentType.muut.karttaaineisto.info" "Jos viranomainen pyytää tai toimittaa kartta-aineistoa" "Om myndigheten ber eller levererar kartmaterial"
"attachmentType.muut.katselmuksen_tai_tarkastuksen_poytakirja" "Katselmuksen tai tarkastuksen pöytäkirja" "Protokoll från syn eller granskning"
"attachmentType.muut.katselmuksen_tai_tarkastuksen_poytakirja.info" "Aina katselmukseen tai hakemukseen liittyen" "Alltid i anknytning med syn eller ansökan"
"attachmentType.muut.kerrosalaselvitys" "Kerrosalaselvitys" "Utredning över våningsyta"
"attachmentType.muut.kerrosalaselvitys.info" "Mikäli ei ole esitetty pääpiirustuksissa" "Om inte visat i huvudritningen"
"attachmentType.muut.kokoontumishuoneisto" "Hakemus kokoontumishuoneiston käyttöön hyväksymiseksi" "Ansökan om godkännandet av samlingslokals användning"
"attachmentType.muut.kokoontumishuoneisto.info" "Kun hankkeeeen liittyy uusi kokoontumishuoneisto" "När en ny samlingslokal anknyter till projektet"
"attachmentType.muut.korjausrakentamisen_energiaselvitys" "Korjausrakentamisen energiaselvitys" "Energiutredning av renoveringsbyggande"
"attachmentType.muut.korjausrakentamisen_energiaselvitys.info" "Aina, kun kyseessä rakennuksen korjaaminen tai muuttaminen" "Alltid, om det är fråga om renovering eller ändring av byggnad"
"attachmentType.muut.lammityslaitesuunnitelma" "Lämmityslaitesuunnitelma" "Plan för värmeanläggning"
"attachmentType.muut.lammityslaitesuunnitelma.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.liikkumis_ja_esteettomyysselvitys" "Liikkumis-  ja esteettömyysselvitys" "Tillgänglighetsutredning"
"attachmentType.muut.liikkumis_ja_esteettomyysselvitys.info" "Aina, jos kyseessä sairaala tai hoitolaitos. Muissa hankkeissa harkinnan mukaan." "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.lomarakennuksen_muutos_asuinrakennukseksi_selvitys_maaraysten_toteutumisesta" "Lomarakennuksen muutos asuinrakennukseksi" "Ändring av fritidsbostad till bostadshus"
"attachmentType.muut.lomarakennuksen_muutos_asuinrakennukseksi_selvitys_maaraysten_toteutumisesta.info" "Selvitys määräysten toteutumisesta" "Utredning om förverkligandet av bestämmelser"
"attachmentType.muut.luonnos" "Luonnos" "Utkast"
"attachmentType.muut.luonnos.info" "Jos on tarve selvittää hanketta luonnoksen avulla" "Om det finns behov att utreda projektet med hjälp av en skiss"
"attachmentType.muut.maalampo_rakennettavuusselvitys" "Maalämpökaivon rakennettavuusselvitys" "Utredning om byggbarhet av jordvärmebrunn"
"attachmentType.muut.maalampo_rakennettavuusselvitys.info" "Jos hankkeeseen liittyy maalämpö- tai porakaivo (kaivuluvan johtoselvitys)" "Om jordvärmebrunn eller borrbrunn anknyter till projektet (grävtillståndets redovisning av ledningar)"
"attachmentType.muut.mainoslaitesuunnitelma" "Mainoslaitesuunnitelma" "Reklamanordningsplan"
"attachmentType.muut.mainoslaitesuunnitelma.info" "Jos hankkeeseen liittyy mainoslaitteita tai kyseessä on erillinen mainosten yleissuunnitelma" "Om reklamsanordningar anknyter till projektet eller det är fråga om en separat generalplan för reklam"
"attachmentType.muut.merkki_ja_turvavalaistussuunnitelma" "Merkki- ja turvavalaistussuunnitelma" "Signal- och säkerhetsbelysningsplan"
"attachmentType.muut.merkki_ja_turvavalaistussuunnitelma.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.muu" "Muu liite" "Annan bilaga"
"attachmentType.muut.muu.info" "Mikä tahansa muu hankkeeseen liittyvä asiakirja" "Vilken som helst annat dokument som anknyter till projektet"
"attachmentType.muut.ote_alueen_peruskartasta_sijainti_paastolahteet_olennaiset_kohteet" "Ote alueen peruskartasta (sijainti, päästölähteet, olennaiset kohteet)" "Utdrag ur områdets grundkarta (placering, utsläppskällor, väsentliga objekt)"
"attachmentType.muut.palotekninen_selvitys" "Palotekninen selvitys" "Brandteknisk utredning"
"attachmentType.muut.palotekninen_selvitys.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.paloturvallisuusselvitys" "Paloturvallisuusselvitys" "Utredning över byggnadens brandsäkerhet"
"attachmentType.muut.paloturvallisuusselvitys.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.paloturvallisuussuunnitelma" "Paloturvallisuussuunnitelma" "Plan för brandsäkerheten"
"attachmentType.muut.paloturvallisuussuunnitelma.info" "Aina, jos kyseessä sairaala tai hoitolaitos. Muissa hankkeissa harkinnan mukaan." "Alltid, om det är fråga om sjukhus eller vårdanstalt. I andra projekt enligt bedömning."
"attachmentType.muut.piha_tai_istutussuunnitelma" "Piha-  tai istutussuunnitelma" "Plan för gården och dess planteringar"
"attachmentType.muut.piha_tai_istutussuunnitelma.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.pohjaveden_hallintasuunnitelma" "Pohjaveden hallintasuunnitelma" "Plan för kontroll avgrundvatten"
"attachmentType.muut.pohjaveden_hallintasuunnitelma.info" "Aina tärkeällä pohjavesialueella tai jos pohjavesiolosuhteilla on merkitystä rakentamiseen" "Alltid i viktigt grundvattenområde eller om grundvattenomständigheter är betydelsefulla i byggandet"
"attachmentType.muut.pohjavesitutkimus" "Pohjavesitutkimus" "Grundvattenutredning"
"attachmentType.muut.pohjavesitutkimus.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.prosessikaavio_yksikkoprosessit_paastolahteet" "Prosessikaavio (yksikköprosessit ja päästölähteet)" "Processillustration (enhetsprocesser och utsläppskällor)"
"attachmentType.muut.radontekninen_suunnitelma" "Radontekninen suunnitelma" "Plan för eliminering av radon"
"attachmentType.muut.radontekninen_suunnitelma.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.rakennesuunnitelma" "Rakennesuunnitelma" "Plan över konstruktioner"
"attachmentType.muut.rakennesuunnitelma.info" "Hankkeeseen liittyvä rakennesuunnitelma" "Konstruktionsplan i anknytning med projekt"
"attachmentType.muut.rakennetapaselvitys" "Rakennetapaselvitys" "Beskriving över byggnadssätt"
"attachmentType.muut.rakennetapaselvitys.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.rakennukseen_tai_sen_osaan_kohdistuva_kuntotutkimus_jos_korjaus_tai_muutostyo" "Rakennukseen tai sen osaan kohdistuva kuntotutkimus" "Utredning över byggnadens skick eller skicket hos en del av den"
"attachmentType.muut.rakennukseen_tai_sen_osaan_kohdistuva_kuntotutkimus_jos_korjaus_tai_muutostyo.info" "Jos sisältää suojellun rakennuksen purkamista tai muutoin vaaditaan" "Om innehåller rivning av skyddad byggnad eller krävs annars"
"attachmentType.muut.rakennuksen_tietomalli_BIM" "Rakennuksen tietomalli (BIM)" "Byggnadsinformationsmodellen (BIM)"
"attachmentType.muut.rakennuksen_tietomalli_BIM.info" "Jos luvanhaussa on sovittu käytettäväksi tietomalleja" "Om man har kommit överens att andvända datamodeller vid lovansökning"
"attachmentType.muut.rakennusautomaatiosuunnitelma" "Rakennusautomaatiosuunnitelma" "Plan över byggnadens automatik"
"attachmentType.muut.rakennusautomaatiosuunnitelma.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.riskianalyysi" "Rakenteellisen turvallisuuden alustava riskiarvio" "Preliminär riskvärdering av konstruktiv säkerhet"
"attachmentType.muut.riskianalyysi.info" "Jos hanke on rakenteellisesti vaativa tai erittäin vaativa" "Om projektet är konstruktivt krävande eller mycket krävande"
"attachmentType.muut.sammutusautomatiikkasuunnitelma" "Sammutusautomatiikkasuunnitelma" "Plan över automatisk brandsläckning"
"attachmentType.muut.sammutusautomatiikkasuunnitelma.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.selvitys_kiinteiston_jatehuollon_jarjestamisesta" "Selvitys kiinteistön jätehuollon järjestämisestä" "Utredning över fastighetens avfallshantering"
"attachmentType.muut.selvitys_kiinteiston_jatehuollon_jarjestamisesta.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.selvitys_liittymisesta_ymparoivaan_rakennuskantaan" "Selvitys liittymisestä ympäröivään rakennuskantaan" "Utredning över byggnadens anslutning till omgivningens byggnadsbestånd"
"attachmentType.muut.selvitys_liittymisesta_ymparoivaan_rakennuskantaan.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.selvitys_purettavasta_rakennusmateriaalista_ja_hyvaksikaytosta" "Purkujätesuunnitelma tai -ilmoitus" "Rivningsavfallsplan eller -anmälan"
"attachmentType.muut.selvitys_purettavasta_rakennusmateriaalista_ja_hyvaksikaytosta.info" "Jos kyseessä purkaminen. Selvitys purettavasta rakennusmateriaalista ja hyväksikäytöstä" "Om det är fråga om rivning. Redovisning av byggmaterial som skall rivas och utnyttjandet"
"attachmentType.muut.selvitys_rakennuksen_aaniteknisesta_toimivuudesta" "Selvitys rakennuksen ääniteknisestä toimivuudesta" "Utredning över byggnadens ljudtekniska egenskaper"
"attachmentType.muut.selvitys_rakennuksen_aaniteknisesta_toimivuudesta.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.selvitys_rakennuksen_kosteusteknisesta_toimivuudesta" "Kosteudenhallintasuunnitelma" "Fuktkontrollplan"
"attachmentType.muut.selvitys_rakennuksen_kosteusteknisesta_toimivuudesta.info" "Aina uudisrakentamisessa tai merkittävässä muutostyössä" "Alltid vid nybyggnad eller vid betydande ändringsarbete"
"attachmentType.muut.selvitys_rakennuksen_rakennustaiteellisesta_ja_kulttuurihistoriallisesta_arvosta_jos_korjaus_tai_muutostyo" "Selvitys rakennuksen rakennustaiteellisesta ja kulttuurihistoriallisesta arvosta" "Utredning över byggnadens arkitektoniska och kulturhistoriska värde"
"attachmentType.muut.selvitys_rakennuksen_rakennustaiteellisesta_ja_kulttuurihistoriallisesta_arvosta_jos_korjaus_tai_muutostyo.info" "Jos kyseessä suojellun rakennuksen muutos- tai korjaustyö tai sisältää suojellun rakennuksen purkamista" "Om det är fråga om ändrings- eller reparationsarbete av skyddad byggnad eller innehåller rivning av skyddad byggnad"
"attachmentType.muut.selvitys_rakennusjatteen_maarasta_laadusta_ja_lajittelusta" "Rakennusjätesuunnitelma tai -ilmoitus" "Byggavfallsplan eller -anmälan"
"attachmentType.muut.selvitys_rakennusjatteen_maarasta_laadusta_ja_lajittelusta.info" "Jos kyseessä rakentaminen. Selvitys jätteen määrästä, laadusta ja lajittelusta." "Om det är fråga om byggandet. Redovisning om avfalls mängd, kvalitet och sortering"
"attachmentType.muut.selvitys_rakennuspaikan_korkeusasemasta" "Tonttikorkeusilmoitus" "Anmälan om tomthöjd"
"attachmentType.muut.selvitys_rakennuspaikan_korkeusasemasta.info" "Uudisrakennushankkeessa tai jos tehdään merkittäviä pihaan kohdistuvia muutoksia" "Vid nybyggnadprojet eller om man gör betydande ändringar som gäller gården"
"attachmentType.muut.selvitys_rakennuspaikan_terveellisyydesta" "Selvitys rakennuspaikan terveellisyydestä" "Utredning över byggplatstsens hygien"
